"Country","Landscape..","Household.ID","Round","Good_Soil","Bad_Soil","erosion_control"
"RWA","L01","GBGa6M3rbd3","2",1,0,TRUE
"RWA","L01","gvW2UAieds2","1",0.5,0,TRUE
"RWA","L01","gvW2UAieds2","2",0,0,TRUE
"RWA","L01","KeSq3y3A1h4","1",1,0,TRUE
"RWA","L01","KeSq3y3A1h4","2",1,0,TRUE
"RWA","L01","m6KCw7ZxQ47","1",0,0,TRUE
"RWA","L01","m6KCw7ZxQ47","2",1,0,TRUE
"RWA","L01","mDLfcyhvBu","1",1,0,TRUE
"RWA","L01","mDLfcyhvBu","2",1,0,TRUE
"RWA","L01","MsBreaQuEcA","1",0,1,TRUE
"RWA","L01","MsBreaQuEcA","2",0,0,TRUE
"RWA","L01","nMVazETomT7","1",0,0,TRUE
"RWA","L01","nMVazETomT7","2",0,0,TRUE
"RWA","L01","Nq4M7PWJPS","1",0,0,TRUE
"RWA","L01","Nq4M7PWJPS","2",1,0,TRUE
"RWA","L01","QUACw1VqWL2","1",0.5,0.25,TRUE
"RWA","L01","QUACw1VqWL2","2",0.5,0.5,TRUE
"RWA","L01","RCuAWjMUBmA","1",0.333333333333333,0.666666666666667,TRUE
"RWA","L01","RCuAWjMUBmA","2",1,0,TRUE
"RWA","L01","smz4XRTY7G6","1",0,0,TRUE
"RWA","L01","smz4XRTY7G6","2",0,0,TRUE
"RWA","L01","TEgeq116YW6","1",0,0,TRUE
"RWA","L01","TEgeq116YW6","2",0,0,TRUE
"RWA","L01","TWGYiMEN9K3","1",0,0.666666666666667,TRUE
"RWA","L01","TWGYiMEN9K3","2",1,0,TRUE
"RWA","L01","VM1oxfq9wgB","1",0,0,TRUE
"RWA","L01","VM1oxfq9wgB","2",1,0,TRUE
"RWA","L01","wPk7iGeM1n2","1",0,0,TRUE
"RWA","L01","wPk7iGeM1n2","2",1,0,TRUE
"RWA","L01","wy7axJB9t4A","1",0,0,TRUE
"RWA","L01","wy7axJB9t4A","2",1,0,TRUE
"RWA","L01","XXFzjtd2A8","1",0,1,TRUE
"RWA","L01","XXFzjtd2A8","2",0,1,TRUE
"RWA","L01","yjXM15j8fo9","1",0,0,TRUE
"RWA","L01","yjXM15j8fo9","2",1,0,TRUE
"RWA","L02","4aupp5Gqjv6","1",1,0,TRUE
"RWA","L02","6zdLptApzZ2","1",1,0,TRUE
"RWA","L02","7HuaMEgyTz4","1",1,0,TRUE
"RWA","L02","am7bPMj2uA","1",0.5,0,TRUE
"RWA","L02","AoyYjSvsgJA","1",0,0,FALSE
"RWA","L02","Az5BDLdFCQB","1",0,0,TRUE
"RWA","L02","d77n4FzyP99","1",0.5,0.5,FALSE
"RWA","L02","DEfS8gcomk3","1",0,0,FALSE
"RWA","L02","fHLhUbHi259","1",0,0.5,FALSE
"RWA","L02","FtidgPbhow5","1",0,1,TRUE
"RWA","L02","iGeYWScB9G8","1",0.333333333333333,0,TRUE
"RWA","L02","LZ29vrnear2","1",1,0,FALSE
"RWA","L02","mhGSC5qMs53","1",1,0,FALSE
"RWA","L02","Mq9anduKdR9","1",0,0,FALSE
"RWA","L02","MxhdeDaZTa9","1",0,0,FALSE
"RWA","L02","nkB43h7a3u6","1",0,0,FALSE
"RWA","L02","sqHntKPZfk6","1",0,0,TRUE
"RWA","L02","t8pSXYMtCP","1",0,0,FALSE
"RWA","L02","tdcaU4K6FA3","1",1,0,FALSE
"RWA","L02","TSZ8yp6UEy4","1",1,0,FALSE
"RWA","L02","U4AbXpgwpoA","1",0,0,FALSE
"RWA","L02","Urb5aXE3gA2","1",0,0,FALSE
"RWA","L02","VDYfVRu3Q44","1",0,0,FALSE
"RWA","L02","voQqwNL5SR4","1",0,0.25,FALSE
"RWA","L02","WuExMq5R6A9","1",1,0,TRUE
"RWA","L02","xAHNqyKKrL4","1",0.666666666666667,0,TRUE
"RWA","L02","XrphaE61Jh6","1",1,0,TRUE
"RWA","L02","y5bMEWTbk12","1",0,0,TRUE
"RWA","L02","z7c7QHaTTe7","1",0.6,0,TRUE
"RWA","L02","zxz5fHgxQr4","1",1,0,TRUE
"RWA","L03","1aHi48GS6A5","1",1,0,TRUE
"RWA","L03","1m6QKguDbp4","1",0.333333333333333,0,TRUE
"RWA","L03","29hZgxCQpf4","1",0,0.25,TRUE
"RWA","L03","2tfKupRSSR9","1",0,0,FALSE
