"Country","Landscape..","Household.ID","Round","No_Toilet","Flush_Toilet","Pit_Latrine","Satisfied_Drinking_Water","Unsatisfied_Drinking_Water","Dispose_Garbage_Within_Compound","No_Measure_Safe_Drinking_Water"
"RWA","L02","tdcaU4K6FA3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","mhGSC5qMs53","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L02","AoyYjSvsgJA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L01","Ag8CWapFXT9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L01","cZWWUyRwuTA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","Urb5aXE3gA2","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","Mq9anduKdR9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","VDYfVRu3Q44","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","WuExMq5R6A9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","sqHntKPZfk6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","y5bMEWTbk12","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","6zdLptApzZ2","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","Az5BDLdFCQB","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","zxz5fHgxQr4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","z7c7QHaTTe7","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L02","7HuaMEgyTz4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L06","NpVRwZSF9A9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L01","MsBreaQuEcA","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L03","Tt5k1X1aefA","1",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"RWA","L03","s754vJkGDg2","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","5s4t5icCN2","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"RWA","L03","tmtcp1ke5eB","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","bsDhjVrvZ8B","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L03","oSahYBywkW2","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L03","UVBzkFMeZz9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","rYhbEL7oXj9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","J2FX8wXV8S9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","Vh74sMy7UM8","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L03","ydvLLQUM1wA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","eSXVTUZDKD3","1",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"RWA","L03","fL32p1TYNb8","1",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"RWA","L03","B8yvkFk2DJ5","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L03","rP7DxqhNrW3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L03","vvZZdLufJK3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L03","kwtgXoW7Ei8","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L03","DRwp2xk3gPB","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L03","1m6QKguDbp4","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L03","29hZgxCQpf4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","2tfKupRSSR9","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","SS7UVs5jxa4","1",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"RWA","L03","EXzXQD4FSm3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L03","YfvDPbb5H85","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","rQmTKtJ2h92","1",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"RWA","L03","V6SdSqrYbJ7","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","DybB4C7m1V6","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L03","x7bE3Pdy8h5","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L03","1aHi48GS6A5","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L03","TY6c2BvPeq8","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"UGA","L01","TTKHU3eLS44","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"UGA","L01","3WbmqA7gbk2","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"UGA","L01","rR4rphkhyt6","1",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"UGA","L01","YTTV9E8N5B7","1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"UGA","L01","vCMe7iY3tJ","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"UGA","L01","8r9jJ38EDF2","1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"UGA","L01","aANwrQbMsa3","1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"UGA","L01","vbnCBWJgn15","1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"UGA","L01","ome4ka94t7","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"UGA","L01","DUyLNfXcu24","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"UGA","L01","SqGfB47Y5q3","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"UGA","L01","VyrUWsmH5zA","1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"UGA","L01","kyXkjdQuZSA","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"UGA","L01","xVFJcnicr68","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"UGA","L01","Lsy3YMkKGP2","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"UGA","L01","tNWzZ2EiTjA","1",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"UGA","L01","Te4C6DJXQq6","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"UGA","L01","vsXLkjJ58x2","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"UGA","L01","wEEPeGoe7x7","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"UGA","L01","hyWdWQ552X7","1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"RWA","L07","8rMnuSjsKfA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","EhXFcHgzLr8","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","3aT11RTk4H8","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"RWA","L07","ob6Go1epkY4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","1tDK7dEA7q4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","sohyYFGAMr9","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L07","yyXhtLq72C2","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L07","C56aeDFWPa7","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","5FTsNB6cw66","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","cQsxahQ8sm8","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","MScBRdzkSi4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L07","Kg7uwpdD4P5","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L07","9s7aPD8ZRh7","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L07","9yvw1XWDNpA","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L07","C3b2zHKsNU3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","tU6yMt3dHA3","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","TYoYR9fk5v3","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L07","nkZFomM6JN2","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L07","mE3oDzqBqu4","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L07","vC1xGx4WFW","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","Wj18gYU55E5","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L07","CnrK9APvaT4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","WVpeXYVGNq8","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","j3meptUjcsA","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","8LgQmjxaed7","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","ah2mXHfB7w4","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L07","8QSNRiJbU45","1",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RWA","L07","NqznyHy6N16","1",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L06","YVG8nKF7bC4","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L06","jQRmJu3n453","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L06","JYjBoTCdte4","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L06","c2cooWnTEh2","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L06","BrVjLcZwqr3","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L06","vdieyWj8obA","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L06","NpBRQomLNX3","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L06","dVN9QRTY6b4","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L06","XZQvXo5qT34","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L06","PGN47oqwcT6","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L06","R9DTr4peJNA","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L06","QLDaeeq1A6A","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"RWA","L06","CGeuGzTDPV5","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"RWA","L06","fiLpRcMBzoA","2",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
