"Country","Landscape..","Bananas","Maize","Paddy","Sorghum","Bulrush.Millet","Finger.Millet","Wheat","Cassava","Sweet.Potatoes","Irish.Potatoes","Yams","Onions","Beans","Pigeon.Pea","Field.Peas","Sunflower","Sesame.Simsim","Groundnut","Palm.Oil","Coconut","Cashew.Nut","Soyabeans","Cotton","Pyrethrum","Coffee","Tea","Cocoa","Rubber","Sugar.Cane","Pineapple","Orange","Tomatoes","Chilies","Egg.Plant","Okra","Timber"
"TZA","L03",0.0333333333333333,1,0,0,0,0.0333333333333333,0.333333333333333,0,0,0.0333333333333333,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TZA","L10",0,0.966666666666667,0,0.0333333333333333,0,0,0,0,0.0333333333333333,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TZA","L11",0,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,0,0
"TZA","L18",0,0.733333333333333,0,0,0,0,0,0,0,0,0,0.466666666666667,0.0333333333333333,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"TZA","L19",0,0.5,0.6,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333
"TZA","L20",0,0.633333333333333,0.9,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0
"TZA","L22",0,0.366666666666667,0.766666666666667,0.0333333333333333,0,0,0,0.4,0,0,0,0,0.0666666666666667,0,0,0,0.166666666666667,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGA","L01",0,0.866666666666667,0.1,0.466666666666667,0,0.0666666666666667,0,0.766666666666667,0.266666666666667,0,0,0,0.533333333333333,0.0333333333333333,0.0666666666666667,0,0.0333333333333333,0.566666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0.0333333333333333
"UGA","L02",0.466666666666667,0.533333333333333,0,0,0,0,0,0.333333333333333,0.233333333333333,0,0.0333333333333333,0.1,0.7,0,0,0,0,0.3,0,0,0,0.0666666666666667,0,0,0.333333333333333,0,0,0,0.0666666666666667,0,0,0,0,0,0,0.133333333333333
"UGA","L03",0.7,0.6,0,0,0,0,0,0.533333333333333,0.8,0.233333333333333,0,0.0333333333333333,0.566666666666667,0,0.0666666666666667,0,0.0333333333333333,0.233333333333333,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.0333333333333333,0,0,0,0.1
"UGA","L04",0.172413793103448,0.206896551724138,0,0.448275862068966,0,0,0.0344827586206897,0,0.482758620689655,0.655172413793103,0,0.172413793103448,1,0,0.379310344827586,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0,0.103448275862069,0,0,0,0.103448275862069
"UGA","L06",0.433333333333333,1,0,0.0333333333333333,0,0.0333333333333333,0,0.766666666666667,0.4,0,0.0333333333333333,0,0.6,0,0,0.2,0.0333333333333333,0.433333333333333,0,0,0,0.0666666666666667,0,0,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,0,0
"UGA","L07",0.1,0.366666666666667,0.0666666666666667,0.333333333333333,0,0.133333333333333,0,0.8,0.333333333333333,0,0,0,0.5,0.366666666666667,0,0.0666666666666667,0.666666666666667,0.366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0.0333333333333333
