"Country","Landscape..","Household.ID","bundles","cost","total_fuelwood_value","hh_annual_nonfuel_nr_value","Nonfuel_NR_decreasing"
"GHA","L06","4xFbY5oyU82",52,3,156,100,1
"GHA","L06","5UXNFVq35e8",12,3,36,2600,1
"GHA","L06","7KKdwdFxzG7",156,3,468,700,1
"GHA","L06","bJGfxV1Xw6",208,3,624,8,0
"GHA","L06","BwcbgH6pxh9",1820,3,5460,64,1
"GHA","L06","c4ZGhkt4uq2",208,3,624,420,0.666666666666667
"GHA","L06","CTRQQXCQTVB",312,3,936,120,1
"GHA","L06","DEyNXLrfRG2",128,3,384,160,1
"GHA","L06","E3EGXT3BJS5",76,3,228,0,NA
"GHA","L06","eYyzj3xgGn8",260,3,780,88,1
"GHA","L06","F7pxhW1PHK7",104,3,312,664,0.5
"GHA","L06","GAwYHaSgWn8",104,3,312,280,1
"GHA","L06","hrKn2nuXSs9",260,3,780,8060,1
"GHA","L06","iR5ETCSgpV5",104,3,312,368,0.5
"GHA","L06","jCvYgt72fP4",208,3,624,0,NA
"GHA","L06","joFqVCsb215",156,3,468,120,1
"GHA","L06","jPJAT9f2La4",48,3,144,20,1
"GHA","L06","jsKMRaBxNf",780,3,2340,168,1
"GHA","L06","Jsv9PkxATh9",108,3,324,280,0.75
"GHA","L06","K7cFANftUD3",104,3,312,280,1
"GHA","L06","LeYiNjAjKi2",832,3,2496,8424,1
"GHA","L06","nYHDrtr9BkA",104,3,312,312,0.833333333333333
"GHA","L06","QNH5zfmLt2B",52,3,156,200,1
"GHA","L06","R24vZdb6HQ7",104,3,312,180,0.333333333333333
"GHA","L06","R3dD5HrGm58",208,3,624,0,NA
"GHA","L06","reM7upJxET6",256,3,768,160,1
"GHA","L06","SstK2kLetr6",156,3,468,160,1
"GHA","L06","Ta22RrxG4KB",208,3,624,20,1
"GHA","L06","thieXHRj9r7",260,3,780,494,0.142857142857143
"GHA","L06","TVHKxGJD4T5",104,3,312,0,NA
"GHA","L06","uA6dFVY3tr2",260,3,780,348,1
"GHA","L06","uVDhbqsgm8B",104,3,312,0,NA
"GHA","L06","vqK89X1n7z7",104,3,312,360,0.333333333333333
"GHA","L06","W8ZrkDDq8B",1300,3,3900,4000,1
"GHA","L06","xJHuYg9HkC4",260,3,780,488,1
"GHA","L06","ydHcUTHKzD7",1664,3,4992,1170,1
"GHA","L06","Yt9L1fZvpf5",8,3,24,150,0.5
"GHA","L06","yyBkps8kGBB",832,3,2496,40,0.5
"RWA","L01","2AzeKX3Xdj9",676,600,405600,0,NA
"RWA","L01","4uYtGb6q1h5",416,600,249600,0,NA
"RWA","L01","8DoKMFq9rv7",260,600,156000,0,NA
"RWA","L01","9upFZJLCfM2",584,600,350400,0,NA
"RWA","L01","aDnodjimek6",728,600,436800,0,NA
"RWA","L01","Ag8CWapFXT9",532,600,319200,0,NA
"RWA","L01","bW7iZTf8uW7",208,600,124800,0,NA
"RWA","L01","CxdDadFVXS7",376,600,225600,0,NA
"RWA","L01","cZWWUyRwuTA",884,600,530400,0,NA
"RWA","L01","e2RyT8u9Vs5",780,600,468000,0,NA
"RWA","L01","eVbuv11Jya9",1100,600,660000,0,NA
"RWA","L01","fSLig1NkSU7",1092,600,655200,0,NA
"RWA","L01","GBGa6M3rbd3",652,600,391200,0,NA
"RWA","L01","gvW2UAieds2",208,600,124800,0,NA
"RWA","L01","KeSq3y3A1h4",208,600,124800,0,NA
"RWA","L01","m6KCw7ZxQ47",676,600,405600,0,NA
"RWA","L01","mDLfcyhvBu",728,600,436800,0,NA
"RWA","L01","MsBreaQuEcA",156,600,93600,0,NA
"RWA","L01","nMVazETomT7",624,600,374400,0,NA
"RWA","L01","Nq4M7PWJPS",188,600,112800,0,NA
"RWA","L01","QUACw1VqWL2",676,600,405600,0,NA
"RWA","L01","RCuAWjMUBmA",464,600,278400,0,NA
"RWA","L01","smz4XRTY7G6",364,600,218400,0,NA
"RWA","L01","TEgeq116YW6",1144,600,686400,0,NA
"RWA","L01","TWGYiMEN9K3",148,600,88800,0,NA
"RWA","L01","VM1oxfq9wgB",360,600,216000,0,NA
"RWA","L01","wPk7iGeM1n2",884,600,530400,0,NA
"RWA","L01","wy7axJB9t4A",312,600,187200,0,NA
"RWA","L01","XXFzjtd2A8",1404,600,842400,0,NA
"RWA","L01","yjXM15j8fo9",364,600,218400,0,NA
"RWA","L02","4aupp5Gqjv6",24,600,14400,0,NA
"RWA","L02","6zdLptApzZ2",260,600,156000,0,NA
"RWA","L02","7HuaMEgyTz4",364,600,218400,0,NA
