"Country","Landscape..","Male.Gender","Male.Literacy.Rate","Male.Percent.Attended.School","Male.Percent.Worked.Recently","Male.Mean.Hours.Worked.Last.Week","Male.Percent.Operated.Business","Male.Percent.Collects.Firewood","Male.Mean.Hours.Spent","Female.Gender","Female.Literacy.Rate","Female.Percent.Attended.School","Female.Percent.Worked.Recently","Female.Mean.Hours.Worked.Last.Week","Female.Percent.Operated.Business","Female.Percent.Collects.Firewood","Female.Mean.Hours.Spent"
"RWA","L06","Male",0.503448275862069,0.758620689655172,0.941666666666667,17.1724137931034,0.00862068965517241,0.475862068965517,4.10144927536232,"Female",0.630872483221476,0.76510067114094,0.920289855072464,16.6153846153846,0,0.651006711409396,2.8
"RWA","L07","Male",0.555555555555556,0.708333333333333,1,17,0.0166666666666667,0.388888888888889,2.32142857142857,"Female",0.518072289156627,0.734939759036145,1,4.36363636363636,0,0.674698795180723,2.125
"TZA","L03","Male",0.610526315789474,0.652631578947368,0.0357142857142857,50.4285714285714,0,0.505263157894737,2.8125,"Female",0.666666666666667,0.694444444444444,0,NA,0,0.583333333333333,2.80952380952381
"TZA","L10","Male",0.747368421052632,0.726315789473684,0.192307692307692,37,0,0.168421052631579,2.4375,"Female",0.569620253164557,0.607594936708861,0.151515151515152,30,0.0317460317460317,0.582278481012658,2.45454545454545
"TZA","L11","Male",0.897058823529412,0.897058823529412,0.412698412698413,42.6666666666667,0.0169491525423729,0.264705882352941,2.16666666666667,"Female",0.727272727272727,0.709090909090909,0.270833333333333,44.3333333333333,0,0.636363636363636,2.34285714285714
"TZA","L18","Male",0.726190476190476,0.726190476190476,0.155844155844156,39.7777777777778,0,0.30952380952381,2.61538461538462,"Female",0.716666666666667,0.716666666666667,0.203703703703704,33.4444444444444,0,0.566666666666667,2.97058823529412
"TZA","L19","Male",0.764044943820225,0.707865168539326,0.402597402597403,32.6206896551724,0,0.337078651685393,1.56666666666667,"Female",0.75,0.766666666666667,0.415094339622642,30.15,0,0.683333333333333,1.92682926829268
"TZA","L20","Male",0.496124031007752,0.51937984496124,0.036697247706422,23,0,0.294573643410853,2.68421052631579,"Female",0.426086956521739,0.426086956521739,0,19.75,0.0102040816326531,0.417391304347826,3.70833333333333
"TZA","L22","Male",0.58974358974359,0.705128205128205,0.28169014084507,30.2,0,0.384615384615385,1.8,"Female",0.554054054054054,0.608108108108108,0.238805970149254,28.75,0,0.621621621621622,1.73913043478261
"UGA","L01","Male",0.365853658536585,0.67479674796748,0.625,30.5,0.0104166666666667,0.0975609756097561,1.58333333333333,"Female",0.106194690265487,0.389380530973451,0.714285714285714,18.7333333333333,0.0135135135135135,0.539823008849557,2.09836065573771
"UGA","L02","Male",0.389473684210526,0.831578947368421,0.931034482758621,20.7272727272727,0.0246913580246914,0.536842105263158,2.47058823529412,"Female",0.276595744680851,0.776595744680851,0.882352941176471,11.4,0,0.531914893617021,2.32
"UGA","L03","Male",0.556818181818182,0.806818181818182,0.906666666666667,26.375,0,0.579545454545455,2.05882352941176,"Female",0.453703703703704,0.703703703703704,0.936170212765957,21.8,0.0113636363636364,0.657407407407407,2
"UGA","L04","Male",0.480519480519481,0.766233766233766,0.935483870967742,25.7272727272727,0,0.415584415584416,3.15625,"Female",0.363636363636364,0.704545454545455,0.946666666666667,22.4444444444444,0,0.613636363636364,3.2962962962963
"UGA","L06","Male",0.435185185185185,0.805555555555556,0.989247311827957,29.9,0.0227272727272727,0.268518518518519,1.89655172413793,"Female",0.4,0.754545454545455,0.98936170212766,32,0,0.581818181818182,2
"UGA","L07","Male",0.445652173913043,0.826086956521739,0.974358974358974,32.6666666666667,0,0.130434782608696,2.25,"Female",0.256410256410256,0.756410256410256,0.970588235294118,23.75,0,0.705128205128205,1.98181818181818
