"Country","Landscape","Household_ID","Round","bundles","cost","total_fuelwood_value","hh_annual_nonfuel_nr_value","Nonfuel_NR_decreasing","Rate"
"RWA","L01","aDnodjimek6","2",416,600,297.567954220315,0,NA,838.8
"RWA","L01","Ag8CWapFXT9","1",376,600,268.9556509299,0,NA,838.8
"RWA","L01","Ag8CWapFXT9","2",156,600,111.587982832618,0,NA,838.8
"RWA","L01","bW7iZTf8uW7","1",104,600,74.3919885550787,0,NA,838.8
"RWA","L01","bW7iZTf8uW7","2",104,600,74.3919885550787,0,NA,838.8
"RWA","L01","CxdDadFVXS7","1",220,600,157.367668097282,0,NA,838.8
"RWA","L01","CxdDadFVXS7","2",156,600,111.587982832618,0,NA,838.8
"RWA","L01","cZWWUyRwuTA","1",468,600,334.763948497854,0,NA,838.8
"RWA","L01","cZWWUyRwuTA","2",416,600,297.567954220315,0,NA,838.8
"RWA","L01","e2RyT8u9Vs5","1",520,600,371.959942775393,0,NA,838.8
"RWA","L01","e2RyT8u9Vs5","2",260,600,185.979971387697,0,NA,838.8
"RWA","L01","eVbuv11Jya9","1",272,600,194.563662374821,0,NA,838.8
"RWA","L01","eVbuv11Jya9","2",828,600,592.274678111588,0,NA,838.8
"RWA","L01","fSLig1NkSU7","1",312,600,223.175965665236,0,NA,838.8
"RWA","L01","fSLig1NkSU7","2",780,600,557.93991416309,0,NA,838.8
"RWA","L01","GBGa6M3rbd3","1",400,600,286.123032904149,0,NA,838.8
"RWA","L01","GBGa6M3rbd3","2",252,600,180.257510729614,0,NA,838.8
"RWA","L01","gvW2UAieds2","1",104,600,74.3919885550787,0,NA,838.8
"RWA","L01","gvW2UAieds2","2",104,600,74.3919885550787,0,NA,838.8
"RWA","L01","KeSq3y3A1h4","1",52,600,37.1959942775393,0,NA,838.8
"RWA","L01","KeSq3y3A1h4","2",156,600,111.587982832618,0,NA,838.8
"RWA","L01","m6KCw7ZxQ47","1",208,600,148.783977110157,0,NA,838.8
"RWA","L01","m6KCw7ZxQ47","2",468,600,334.763948497854,0,NA,838.8
"RWA","L01","mDLfcyhvBu","1",260,600,185.979971387697,0,NA,838.8
"RWA","L01","mDLfcyhvBu","2",468,600,334.763948497854,0,NA,838.8
"RWA","L01","MsBreaQuEcA","1",52,600,37.1959942775393,0,NA,838.8
"RWA","L01","MsBreaQuEcA","2",104,600,74.3919885550787,0,NA,838.8
"RWA","L01","nMVazETomT7","1",208,600,148.783977110157,0,NA,838.8
"RWA","L01","nMVazETomT7","2",416,600,297.567954220315,0,NA,838.8
"RWA","L01","Nq4M7PWJPS","1",116,600,82.9756795422032,0,NA,838.8
"RWA","L01","Nq4M7PWJPS","2",72,600,51.5021459227468,0,NA,838.8
"RWA","L01","QUACw1VqWL2","1",416,600,297.567954220315,0,NA,838.8
"RWA","L01","QUACw1VqWL2","2",260,600,185.979971387697,0,NA,838.8
"RWA","L01","RCuAWjMUBmA","1",156,600,111.587982832618,0,NA,838.8
"RWA","L01","RCuAWjMUBmA","2",308,600,220.314735336195,0,NA,838.8
"RWA","L01","smz4XRTY7G6","1",208,600,148.783977110157,0,NA,838.8
"RWA","L01","smz4XRTY7G6","2",156,600,111.587982832618,0,NA,838.8
"RWA","L01","TEgeq116YW6","1",364,600,260.371959942775,0,NA,838.8
"RWA","L01","TEgeq116YW6","2",780,600,557.93991416309,0,NA,838.8
"RWA","L01","TWGYiMEN9K3","1",96,600,68.6695278969957,0,NA,838.8
"RWA","L01","TWGYiMEN9K3","2",52,600,37.1959942775393,0,NA,838.8
"RWA","L01","VM1oxfq9wgB","1",48,600,34.3347639484979,0,NA,838.8
"RWA","L01","VM1oxfq9wgB","2",312,600,223.175965665236,0,NA,838.8
"RWA","L01","wPk7iGeM1n2","1",468,600,334.763948497854,0,NA,838.8
"RWA","L01","wPk7iGeM1n2","2",416,600,297.567954220315,0,NA,838.8
"RWA","L01","wy7axJB9t4A","1",52,600,37.1959942775393,0,NA,838.8
"RWA","L01","wy7axJB9t4A","2",260,600,185.979971387697,0,NA,838.8
"RWA","L01","XXFzjtd2A8","1",624,600,446.351931330472,0,NA,838.8
"RWA","L01","XXFzjtd2A8","2",780,600,557.93991416309,0,NA,838.8
"RWA","L01","yjXM15j8fo9","1",260,600,185.979971387697,0,NA,838.8
"RWA","L01","yjXM15j8fo9","2",104,600,74.3919885550787,0,NA,838.8
"RWA","L02","4aupp5Gqjv6","1",24,600,17.1673819742489,0,NA,838.8
"RWA","L02","6zdLptApzZ2","1",260,600,185.979971387697,0,NA,838.8
"RWA","L02","7HuaMEgyTz4","1",364,600,260.371959942775,0,NA,838.8
"RWA","L02","am7bPMj2uA","1",156,600,111.587982832618,0,NA,838.8
"RWA","L02","AoyYjSvsgJA","1",76,600,54.3633762517883,0,NA,838.8
"RWA","L02","Az5BDLdFCQB","1",84,600,60.0858369098712,0,NA,838.8
"RWA","L02","d77n4FzyP99","1",NA,NA,NA,0,NA,838.8
"RWA","L02","DEfS8gcomk3","1",260,600,185.979971387697,0,NA,838.8
"RWA","L02","fHLhUbHi259","1",104,600,74.3919885550787,0,NA,838.8
"RWA","L02","FtidgPbhow5","1",NA,NA,NA,0,NA,838.8
"RWA","L02","iGeYWScB9G8","1",256,600,183.118741058655,0,NA,838.8
"RWA","L02","LZ29vrnear2","1",NA,NA,NA,0,NA,838.8
"RWA","L02","mhGSC5qMs53","1",104,600,74.3919885550787,0,NA,838.8
"RWA","L02","Mq9anduKdR9","1",24,600,17.1673819742489,0,NA,838.8
"RWA","L02","MxhdeDaZTa9","1",192,600,137.339055793991,0,NA,838.8
"RWA","L02","nkB43h7a3u6","1",NA,NA,NA,0,NA,838.8
"RWA","L02","sqHntKPZfk6","1",364,600,260.371959942775,0,NA,838.8
"RWA","L02","t8pSXYMtCP","1",156,600,111.587982832618,0,NA,838.8
"RWA","L02","tdcaU4K6FA3","1",180,600,128.755364806867,0,NA,838.8
"RWA","L02","TSZ8yp6UEy4","1",NA,NA,NA,0,NA,838.8
"RWA","L02","U4AbXpgwpoA","1",220,600,157.367668097282,0,NA,838.8
