"Country","Landscape","Household_ID","Round","size","literate","years","age"
"GHA","L06","hrKn2nuXSs9","1",15,0.666666666666667,4.66666666666667,22
"GHA","L06","iR5ETCSgpV5","1",4,0.75,5.5,26.5
"GHA","L06","jCvYgt72fP4","1",10,0.7,5.7,26.3
"GHA","L06","joFqVCsb215","1",1,0,0,48
"GHA","L06","jPJAT9f2La4","1",5,0.8,6.4,37.4
"GHA","L06","jsKMRaBxNf","1",3,0.666666666666667,1.33333333333333,16
"GHA","L06","Jsv9PkxATh9","1",16,0.75,5.25,22.5625
"GHA","L06","K7cFANftUD3","1",3,0,0,18.3333333333333
"GHA","L06","LeYiNjAjKi2","1",6,0.333333333333333,0.166666666666667,15.5
"GHA","L06","nYHDrtr9BkA","1",4,0,1,17.75
"GHA","L06","QNH5zfmLt2B","1",2,0.5,6,56.5
"GHA","L06","R24vZdb6HQ7","1",4,0.5,3.75,22
"GHA","L06","R3dD5HrGm58","1",10,0.8,5.3,32.6
"GHA","L06","reM7upJxET6","1",9,0.555555555555556,5.44444444444444,38.4444444444444
"GHA","L06","SstK2kLetr6","1",3,0.333333333333333,4.33333333333333,20.6666666666667
"GHA","L06","Ta22RrxG4KB","1",8,0.5,4,22
"GHA","L06","thieXHRj9r7","1",6,0.833333333333333,6.5,22.3333333333333
"GHA","L06","TVHKxGJD4T5","1",4,0.5,7.25,30.25
"GHA","L06","uA6dFVY3tr2","1",6,0.333333333333333,4.16666666666667,27.6666666666667
"GHA","L06","uVDhbqsgm8B","1",5,0.8,12.4,40.8
"GHA","L06","vqK89X1n7z7","1",5,0.2,2.4,30
"GHA","L06","W8ZrkDDq8B","1",6,0.333333333333333,7.66666666666667,39.6666666666667
"GHA","L06","xJHuYg9HkC4","1",6,0.833333333333333,5,22.8333333333333
"GHA","L06","ydHcUTHKzD7","1",8,0.375,3.25,60.75
"GHA","L06","Yt9L1fZvpf5","1",4,0.5,4.5,17
"GHA","L06","yyBkps8kGBB","1",13,0.384615384615385,5.07692307692308,41.5384615384615
"RWA","L01","2AzeKX3Xdj9","1",8,0.375,1.25,14.125
"RWA","L01","2AzeKX3Xdj9","2",8,0.375,1.375,15.25
"RWA","L01","4uYtGb6q1h5","1",4,0.5,1.75,14.25
"RWA","L01","4uYtGb6q1h5","2",4,0.25,1.75,15.25
"RWA","L01","8DoKMFq9rv7","1",3,0,0.666666666666667,27.6666666666667
"RWA","L01","8DoKMFq9rv7","2",3,0,0.666666666666667,28.3333333333333
"RWA","L01","9upFZJLCfM2","1",9,0.111111111111111,1,16
"RWA","L01","9upFZJLCfM2","2",10,0.1,1.2,16.9
"RWA","L01","aDnodjimek6","1",4,0.75,2.5,41.75
"RWA","L01","aDnodjimek6","2",4,1,4.75,40.75
"RWA","L01","Ag8CWapFXT9","1",6,1,6.83333333333333,31.1666666666667
"RWA","L01","Ag8CWapFXT9","2",6,1,7.33333333333333,31.5
"RWA","L01","bW7iZTf8uW7","1",3,0.666666666666667,3.66666666666667,19
"RWA","L01","bW7iZTf8uW7","2",4,0.5,2.75,15
"RWA","L01","CxdDadFVXS7","1",3,0,1.66666666666667,28
"RWA","L01","CxdDadFVXS7","2",4,0,1,28.5
"RWA","L01","cZWWUyRwuTA","1",9,0.888888888888889,6.55555555555556,24.6666666666667
"RWA","L01","cZWWUyRwuTA","2",10,0.9,8.1,24.6
"RWA","L01","e2RyT8u9Vs5","1",4,0,1.5,33.5
"RWA","L01","e2RyT8u9Vs5","2",3,0.333333333333333,1.66666666666667,17.6666666666667
"RWA","L01","eVbuv11Jya9","1",5,0.4,2.8,18.4
"RWA","L01","eVbuv11Jya9","2",6,0.5,2.16666666666667,17.8333333333333
"RWA","L01","fSLig1NkSU7","1",6,0.5,2.16666666666667,34.3333333333333
"RWA","L01","fSLig1NkSU7","2",5,0.8,3.4,36.2
"RWA","L01","GBGa6M3rbd3","1",4,0.5,3.5,22.75
"RWA","L01","GBGa6M3rbd3","2",4,0.75,4.5,25.25
"RWA","L01","gvW2UAieds2","1",5,0,0,14.2
"RWA","L01","gvW2UAieds2","2",6,0,0.333333333333333,13.1666666666667
"RWA","L01","KeSq3y3A1h4","1",5,0.2,0.8,14.4
"RWA","L01","KeSq3y3A1h4","2",4,0.25,0.75,16.5
"RWA","L01","m6KCw7ZxQ47","1",11,0.545454545454545,3.63636363636364,23.9090909090909
"RWA","L01","m6KCw7ZxQ47","2",12,0.666666666666667,3.91666666666667,22.9166666666667
"RWA","L01","mDLfcyhvBu","1",7,0.428571428571429,1.85714285714286,22.5714285714286
"RWA","L01","mDLfcyhvBu","2",9,0.555555555555556,2.66666666666667,23.8888888888889
"RWA","L01","MsBreaQuEcA","1",5,0.4,1.4,14.4
"RWA","L01","MsBreaQuEcA","2",5,0.4,1.6,14.8
"RWA","L01","nMVazETomT7","1",7,0.285714285714286,2.14285714285714,28.1428571428571
"RWA","L01","nMVazETomT7","2",6,0.666666666666667,2,29.1666666666667
"RWA","L01","Nq4M7PWJPS","1",5,0.2,1.4,16.4
"RWA","L01","Nq4M7PWJPS","2",6,0.333333333333333,1.66666666666667,17.1666666666667
"RWA","L01","QUACw1VqWL2","1",9,0.444444444444444,3.22222222222222,23.7777777777778
"RWA","L01","QUACw1VqWL2","2",5,0.6,4.6,34.8
"RWA","L01","RCuAWjMUBmA","1",2,0.5,3,48.5
"RWA","L01","RCuAWjMUBmA","2",2,0.5,2.5,49.5
"RWA","L01","smz4XRTY7G6","1",3,0.333333333333333,1.33333333333333,28
"RWA","L01","smz4XRTY7G6","2",3,1,5.66666666666667,31.6666666666667
"RWA","L01","TEgeq116YW6","1",7,0.142857142857143,1.71428571428571,18
"RWA","L01","TEgeq116YW6","2",8,0.5,1.5,15.75
"RWA","L01","TWGYiMEN9K3","1",5,0.4,1.8,14.2
