"survey_uuid","Landscape..","Eplot..","latitude","longitude","Country","biodiversity","eplot_code"
"1094541f-8cde-45d5-b55c-b6d27bdd7ce4","000","019",-8.30661,36.14143,"TZA",0,"TZA-000-019"
"11019c24-47c7-4082-b30b-172d4f357e0a","000","003",-7.88136,37.09501,"TZA",1.83131046056059,"TZA-000-003"
"11033668-fb59-48dc-8f13-1ba4181c3563","000","103",-7.07723,36.2471,"TZA",1.19366647740993,"TZA-000-103"
"11062b9d-87f5-440c-ad8d-b9010306d5c8","000","113",-6.68343,36.01351,"TZA",0,"TZA-000-113"
"1133b02d-7189-46e9-ac3b-db4ffb1e1aed","000","131",-2.35579,30.08646,"RWA",0.591863660026905,"RWA-000-131"
"1165ab38-79bc-4c6a-8344-f29ba68889a6","000","141",5.95172,-0.16367,"GHA",0.2509192793627,"GHA-000-141"
"1171672d-ffe3-4a24-bde1-70e78e3ffb6b","000","340",-9.25314,35.19466,"TZA",0.124838402105375,"TZA-000-340"
"117c8c67-7d4a-43a7-a45c-0e423bf35f06","L06","009",5.77859,-0.49649,"GHA",0,"GHA-L06-009"
"1189e0e1-28e6-4b8a-9c4e-3c3bedd28fef","000","291",7.15755,-1.14208,"GHA",0.37707206622461,"GHA-000-291"
"11b12484-fd3a-4ce2-b897-8cdf96a312d5","000","191",10.69366,-0.2231,"GHA",0,"GHA-000-191"
"1233a7c2-b024-46f1-8143-d5e50e5e8d9f","000","245",-7.21183,35.54937,"TZA",1.70629602851628,"TZA-000-245"
"124a8bf3-dd5e-46d3-aab9-fdffdc9c8bce","000","027",-1.93761,30.10607,"RWA",0,"RWA-000-027"
"126ebc09-f2b3-4175-8c76-ceee94b97bc6","000","086",7.22079,-1.9,"GHA",0.324488759974835,"GHA-000-086"
"1296b7ae-46d9-4c95-8b79-d97fb338b5fa","000","214",-8.05761,31.55781,"TZA",0,"TZA-000-214"
"12a28a94-e620-4fc3-b878-fbe46e1a5a81","000","239",10.43608,-0.78536,"GHA",0,"GHA-000-239"
"12adc40b-9396-48b4-983f-8c89906e4b85","L03","002",7.73974,-0.89829,"GHA",1.59936000716118,"GHA-L03-002"
"12c6b20f-1694-49a0-9dc2-2a4266256972","000","153",-2.55256,29.58885,"RWA",0.771705104818069,"RWA-000-153"
"12f78a0b-30ba-4b76-860e-a8899fa7ac30","000","081",-7.26806,39.13985,"TZA",1.89076169719042,"TZA-000-081"
"133f493e-89c1-45f7-9542-4396b4cb1f0e","000","389",-7.67943,32.60401,"TZA",2.28368677567471,"TZA-000-389"
"13511875-4919-4392-a02f-e0a410a46709","000","116",5.60424,-1.54953,"GHA",0.0429751251947166,"GHA-000-116"
"1358217b-9877-4560-9652-c363aee5c440","000","101",-6.83475,33.22683,"TZA",2.43073888998594,"TZA-000-101"
"1391a6d8-84d1-4e7e-839f-dd728ee2ec72","000","008",-7.79205,38.80814,"TZA",2.93694292278891,"TZA-000-008"
"13abc934-f1c3-48b6-a3a4-cda3cec67bb5","000","051",-9.57791,33.82963,"TZA",0.829183501674009,"TZA-000-051"
"13ad13d0-1eeb-4b87-b9fb-76c4aee4f842","L19","003",-8.13451,36.49421,"TZA",1.05575145173706,"TZA-L19-003"
"13be87fc-b3be-4118-8f64-ca171a6255be","000","333",-7.30459,34.06875,"TZA",2.05906895895413,"TZA-000-333"
"13d593a6-10c4-4091-9441-6e72a0c2b631","000","168",7.54653,-1.71726,"GHA",0.205171565445744,"GHA-000-168"
"13f3e4d5-5424-4e1d-ba77-5e7d239d9983","000","196",-9.41248,33.19536,"TZA",0,"TZA-000-196"
"14478930-cbee-4296-83c9-6f71771c8a92","L06","001",-1.95609,29.7965,"RWA",0.30246094708245,"RWA-L06-001"
"144ce9e3-a0b4-4794-96b3-fd59c765b038","000","180",10.53568,-0.16382,"GHA",0,"GHA-000-180"
"147f7f44-89ed-4380-a556-6633b880df6c","000","315",-9.2,33.30899,"TZA",0,"TZA-000-315"
"148b5134-ecc1-4236-9dc7-b14df1eb9d4a","000","303",-9.04587,34.82549,"TZA",0,"TZA-000-303"
"14b552aa-2e5b-4cb5-86c5-46a66883c818","000","266",1.82596,33.64859,"UGA",2.02469742341137,"UGA-000-266"
"14e96cd6-dafe-49b4-b68e-9c4daa8d9c55","000","183",9.5702,-0.94157,"GHA",0.284375882232126,"GHA-000-183"
"157f6f02-a099-47ae-afd3-469b5a9961ab","000","348",9.43538,-1.30098,"GHA",0,"GHA-000-348"
"159ac65a-a7ac-44a7-85cd-f875aa86b0d7","L02","006",1.05238,34.32698,"UGA",1.18855351593381,"UGA-L02-006"
