"Category","Male_mean","Male_sd","Female_mean","Female_sd","P_score","F_value"
"pct_fields_inorganic_fert",0.199679487179487,0.350624627561772,0.224358974358974,0.370556544293126,0.399228620145575,0.711777486077735
"pct_buy_seed",0.330351574594996,0.3845480430917,0.220349822777007,0.288774116223451,0.00312138327956976,8.81451613175001
"number_fields",2.70152505446623,1.34789900595931,2.54807692307692,1.14806555487796,0.174292111500818,1.85047913403181
"Total_Area_Owned",2.97951633640553,7.02093350938211,1.62498383838384,2.50372946677499,0.0422685132345089,4.14509567226566
"Crops",286.948416701526,474.85426197316,271.664790102144,583.976005549665,0.737492173226833,0.112459077197311
"Permanent.Crops",59.9395910030186,120.616192936233,62.4109214677043,125.097685510233,0.834827364639938,0.0435197334056166
"Livestock.Byproducts",48.7632006970961,144.071791719149,34.8281969538009,92.4520441611569,0.315132343859408,1.01089804653998
"Livestock",97.067396569141,535.384020102795,59.1162914170806,152.279902696199,0.464998807238553,0.534584650109171
"Crop.Byproducts",4.83976700252186,20.2871607997589,5.61171714791487,22.8280257964321,0.708389610924297,0.140036633784253
"total",497.407439858719,935.700960216786,436.227358645811,714.744570678242,0.485932546634053,0.486189750941409
"Bananas",0.147186147186147,0.354675440500209,0.171428571428571,0.378690630207025,0.442198544229624,0.591430159536193
"Maize",0.670995670995671,0.470360875881907,0.59047619047619,0.494104436469856,0.0646747768604965,3.42706526686365
"Paddy",0.138528138528139,0.345827935895224,0.142857142857143,0.351605423203872,0.851156173261741,0.0352433939654237
"Sorghum",0.0995670995670996,0.299746506856901,0.142857142857143,0.351605423203872,0.117411914421314,2.45926228397261
"Bulrush.Millet",0.00432900432900433,0.0657237693995286,0.00952380952380952,0.0975900072948533,0.494156444725368,0.468091027833785
"Finger.Millet",0.012987012987013,0.113340884120357,0.019047619047619,0.137347984566461,0.626543034771519,0.2370457689374
"Wheat",0.0497835497835498,0.217733236227969,0.0571428571428571,0.233228652604272,0.705973704758031,0.142480613106735
"Cassava",0.261904761904762,0.440147687227407,0.133333333333333,0.341565025531987,0.000162726375614157,14.4186516852057
"Sweet.Potatoes",0.183982683982684,0.38789009295345,0.19047619047619,0.394560078666932,0.851951126637046,0.0348635376373448
"Irish.Potatoes",0.168831168831169,0.37500880345753,0.180952380952381,0.38682515382754,0.673775792195663,0.177407942961755
"Yams",0.0151515151515152,0.122287838267568,0.019047619047619,0.137347984566461,0.755111834983348,0.0973830907414699
"Onions",0.0454545454545455,0.208524693551969,0.019047619047619,0.137347984566461,0.141175662778381,2.17137525745448
"Beans",0.443722943722944,0.49736135978344,0.485714285714286,0.502192992979594,0.289821714203966,1.12262425974116
"Pigeon.Pea",0.0194805194805195,0.138356289135443,0.0285714285714286,0.167397664326531,0.484917355772576,0.488448272468723
"Field.Peas",0.0454545454545455,0.208524693551969,0.0476190476190476,0.213980246255456,0.914014300468866,0.0116697200284716
"Sunflower",0.012987012987013,0.113340884120357,0.0285714285714286,0.167397664326531,0.221716985596549,1.49663247273189
"Sesame.Simsim",0.051948051948052,0.222162741317266,0.0476190476190476,0.213980246255456,0.807084149482703,0.0596862401849768
"Groundnut",0.121212121212121,0.326727417325769,0.0857142857142857,0.281284338563097,0.22903558871633,1.45008206872918
