"Country","Landscape..","Male.Literacy.Rate","Male.Percent.Attended.School","Male.Percent.Worked.Recently","Male.Mean.Hours.Worked.Last.Week","Male.Percent.Operated.Business","Male.Percent.Collects.Firewood","Male.Mean.Hours.Spent","Female.Literacy.Rate","Female.Percent.Attended.School","Female.Percent.Worked.Recently","Female.Mean.Hours.Worked.Last.Week","Female.Percent.Operated.Business","Female.Percent.Collects.Firewood","Female.Mean.Hours.Spent","Male.HH.Head","Female.HH.Head"
"RWA","L07",0.547222222222222,0.680555555555556,1,15.8,0.0178571428571429,0.383333333333333,2.36666666666667,0.524425287356322,0.744252873563218,1,4.36363636363636,0,0.717816091954023,2.26785714285714,0.7,0.3
"TZA","L03",0.653888888888889,0.69,0.0316666666666667,50.4285714285714,0,0.553994708994709,2.82608695652174,0.607600732600733,0.652472527472527,0,NA,0,0.671016483516483,2.76,1,0
"TZA","L10",0.743979200875753,0.733305966064587,0.181547619047619,33.9,0,0.221264367816092,2.46153846153846,0.552222222222222,0.602222222222222,0.216666666666667,30,0.0333333333333333,0.596666666666667,2.41071428571429,0.666666666666667,0.333333333333333
"TZA","L11",0.885057471264368,0.885057471264368,0.373123732251521,42.75,0.0185185185185185,0.401724137931035,2,0.720238095238095,0.711309523809524,0.318452380952381,44.3333333333333,0,0.699404761904762,2.30769230769231,0.8,0.2
"TZA","L18",0.713218390804598,0.713218390804598,0.169540229885057,41.7777777777778,0,0.344827586206897,2.86666666666667,0.758620689655172,0.758620689655172,0.224137931034483,37.1428571428571,0,0.626436781609195,3.05555555555556,0.896551724137931,0.103448275862069
"TZA","L19",0.775555555555556,0.737777777777778,0.396551724137931,34.5833333333333,0,0.34,1.65625,0.718115942028986,0.739855072463768,0.356060606060606,29.7333333333333,0,0.661594202898551,1.95238095238095,0.866666666666667,0.133333333333333
"TZA","L20",0.544395604395604,0.581895604395604,0.0555555555555556,26.230303030303,0,0.293690476190476,3,0.533729686880698,0.533729686880698,0,20.0714285714286,0.0114942528735632,0.550079270709473,3.92,0.8,0.2
"TZA","L22",0.583333333333333,0.666666666666667,0.358888888888889,30.2,0,0.356349206349206,1.91666666666667,0.510555555555556,0.571666666666667,0.243333333333333,26.6666666666667,0,0.693333333333333,1.77011494252874,0.9,0.1
"UGA","L01",0.350357142857143,0.68,0.719444444444444,31.4259259259259,0.00892857142857143,0.106111111111111,1.5625,0.104722222222222,0.385,0.726666666666667,20.4444444444444,0.0114942528735632,0.565039682539683,2.04597701149425,0.933333333333333,0.0666666666666667
"UGA","L02",0.415024630541872,0.824302134646962,0.954597701149425,23.5555555555556,0.0229885057471264,0.52799671592775,2.34,0.26547619047619,0.710119047619048,0.910714285714286,11.4,0,0.610714285714286,2.27380952380952,0.862068965517241,0.137931034482759
"UGA","L03",0.600164203612479,0.847290640394089,0.927586206896552,26.375,0,0.623399014778325,1.88333333333333,0.43448275862069,0.731226053639847,0.929885057471264,21.8,0.0172413793103448,0.686781609195402,1.96428571428571,0.833333333333333,0.166666666666667
"UGA","L04",0.517816091954023,0.767816091954023,0.931034482758621,25.7272727272727,0,0.435057471264368,3.23333333333333,0.373412698412698,0.694047619047619,0.958333333333333,24,0,0.671031746031746,3.40238095238095,0.833333333333333,0.166666666666667
"UGA","L06",0.467936507936508,0.836587301587302,0.988888888888889,29.9,0.0666666666666667,0.336428571428571,1.92857142857143,0.42984126984127,0.754920634920635,0.983333333333333,32,0,0.629206349206349,1.98888888888889,0.9,0.1
"UGA","L07",0.500697865353038,0.820977011494253,0.982142857142857,32.6666666666667,0,0.126149425287356,2.3,0.233333333333333,0.766091954022988,0.982758620689655,23.75,0,0.772988505747126,1.90229885057471,0.833333333333333,0.166666666666667
